# Gnuplot File : positions of 8 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 1 2 3 4 5 6 7 
0.15	0 0 -0.0419868 0.99923 0.00788827 0	0 0 0.0950498 0.998948 -0.0206293 0	0 0 0.212522 0.998328 -0.0283614 0	0 0 0.316571 0.99834 -0.0236846 0	0 0 0.41315 0.998808 -0.0140649 0	0 0 0.506994 0.999367 -0.00485745 0	0 0 0.601452 0.999793 0.00101315 0	0 0 0.698744 1.00004 0.0027031 0	
0.16	0 0 -0.0466759 0.999177 0.00871193 0	0 0 0.0935557 0.998868 -0.0217764 0	0 0 0.213315 0.998096 -0.0308032 0	0 0 0.318494 0.998054 -0.0264199 0	0 0 0.415122 0.998588 -0.0162227 0	0 0 0.50831 0.999263 -0.00602989 0	0 0 0.60193 0.999787 0.000709579 0	0 0 0.69869 1.00008 0.00281449 0	
0.17	0 0 -0.0515081 0.999125 0.00951336 0	0 0 0.0919088 0.998795 -0.0228502 0	0 0 0.214022 0.997856 -0.033188 0	0 0 0.320432 0.997743 -0.029182 0	0 0 0.417186 0.998338 -0.0184867 0	0 0 0.509736 0.999138 -0.00733641 0	0 0 0.60248 0.999772 0.00029383 0	0 0 0.698657 1.00012 0.00285205 0	
0.18	0 0 -0.0564721 0.999072 0.0102885 0	0 0 0.0901138 0.998727 -0.0238525 0	0 0 0.214634 0.997607 -0.0355062 0	0 0 0.32237 0.997405 -0.0319534 0	0 0 0.419328 0.998057 -0.0208417 0	0 0 0.511263 0.99899 -0.00877271 0	0 0 0.6031 0.999747 -0.000241085 0	0 0 0.698647 1.00016 0.00280285 0	
0.19	0 0 -0.061557 0.99902 0.0110333 0	0 0 0.0881757 0.998667 -0.0247854 0	0 0 0.215148 0.997353 -0.0377498 0	0 0 0.324295 0.997044 -0.0347176 0	0 0 0.421535 0.997744 -0.0232725 0	0 0 0.512881 0.998816 -0.0103332 0	0 0 0.603788 0.999709 -0.000900822 0	0 0 0.698659 1.00019 0.00265467 0	
0.2	0 0 -0.066753 0.998967 0.0117456 0	0 0 0.0860998 0.998614 -0.0256515 0	0 0 0.215558 0.997095 -0.0399127 0	0 0 0.326193 0.996659 -0.0374599 0	0 0 0.42379 0.997398 -0.0257642 0	0 0 0.51458 0.998613 -0.0120111 0	0 0 0.60454 0.999653 -0.00168939 0	0 0 0.698695 1.00021 0.00239607 0	
0.21	0 0 -0.0720505 0.998914 0.0124227 0	0 0 0.0838913 0.998569 -0.0264534 0	0 0 0.215861 0.996835 -0.0419896 0	0 0 0.328054 0.996254 -0.0401671 0	0 0 0.426079 0.997019 -0.0283021 0	0 0 0.51635 0.99838 -0.0137988 0	0 0 0.605351 0.999577 -0.00260968 0	0 0 0.698755 1.00023 0.00201661 0	
0.22	0 0 -0.07744 0.99886 0.0130631 0	0 0 0.0815558 0.998531 -0.0271937 0	0 0 0.216055 0.996574 -0.0439767 0	0 0 0.329866 0.995829 -0.0428273 0	0 0 0.428388 0.996608 -0.0308722 0	0 0 0.518178 0.998115 -0.0156881 0	0 0 0.606215 0.999477 -0.00366353 0	0 0 0.698838 1.00022 0.00150686 0	
0.23	0 0 -0.0829128 0.998806 0.0136651 0	0 0 0.0790985 0.998502 -0.027875 0	0 0 0.216136 0.996314 -0.0458711 0	0 0 0.331618 0.995387 -0.0454299 0	0 0 0.430701 0.996165 -0.0334613 0	0 0 0.520052 0.997815 -0.0176704 0	0 0 0.607127 0.99935 -0.00485126 0	0 0 0.698943 1.0002 0.000858725 0	
0.24	0 0 -0.0884603 0.998751 0.014228 0	0 0 0.0765249 0.998481 -0.0285001 0	0 0 0.216103 0.996057 -0.0476705 0	0 0 0.3333 0.99493 -0.0479656 0	0 0 0.433006 0.995692 -0.0360567 0	0 0 0.521959 0.997481 -0.0197368 0	0 0 0.60808 0.999195 -0.00617258 0	0 0 0.69907 1.00016 6.51942e-05 0	
0.25	0 0 -0.0940744 0.998695 0.0147509 0	0 0 0.0738404 0.998468 -0.0290713 0	0 0 0.215954 0.995804 -0.0493732 0	0 0 0.334904 0.994461 -0.0504264 0	0 0 0.435289 0.99519 -0.0386469 0	0 0 0.523887 0.997112 -0.0218787 0	0 0 0.609066 0.999007 -0.00762612 0	0 0 0.699217 1.00008 -0.000879425 0	
0.26	0 0 -0.0997468 0.998639 0.0152334 0	0 0 0.0710502 0.998463 -0.0295909 0	0 0 0.215689 0.995557 -0.0509785 0	0 0 0.336421 0.993982 -0.0528051 0	0 0 0.437535 0.994659 -0.041221 0	0 0 0.525824 0.996706 -0.0240871 0	0 0 0.610079 0.998784 -0.00920967 0	0 0 0.699383 0.999984 -0.00197956 0	
0.27	0 0 -0.10547 0.998583 0.0156748 0	0 0 0.0681593 0.998467 -0.0300611 0	0 0 0.215307 0.995317 -0.0524857 0	0 0 0.337843 0.993494 -0.0550957 0	0 0 0.439733 0.994104 -0.0437691 0	0 0 0.527757 0.996265 -0.0263533 0	0 0 0.611112 0.998526 -0.0109203 0	0 0 0.699565 0.999849 -0.00323842 0	
0.28	0 0 -0.111236 0.998525 0.0160755 0	0 0 0.0651731 0.998478 -0.0304838 0	0 0 0.214807 0.995085 -0.0538947 0	0 0 0.339162 0.993002 -0.0572931 0	0 0 0.44187 0.993524 -0.0462823 0	0 0 0.529675 0.995788 -0.0286692 0	0 0 0.612156 0.998229 -0.0127546 0	0 0 0.699764 0.999679 -0.00465795 0	
0.29	0 0 -0.117037 0.998468 0.0164354 0	0 0 0.0620964 0.998498 -0.0308609 0	0 0 0.21419 0.994863 -0.0552056 0	0 0 0.340372 0.992507 -0.0593931 0	0 0 0.443935 0.992923 -0.0487527 0	0 0 0.531564 0.995275 -0.0310269 0	0 0 0.613205 0.997892 -0.0147085 0	0 0 0.699976 0.999468 -0.0062388 0	
