# Gnuplot File : positions of 8 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 1 2 3 4 5 6 7 
0.13	0 0 -0.0348803 -0.00073207 -0.00768349 0	0 0 0.0896604 -0.000785367 -0.00524739 0	0 0 0.203871 -0.000885156 -0.00319213 0	0 0 0.310412 -0.000916677 -0.0015515 0	0 0 0.411728 -0.000829403 -0.000328175 0	0 0 0.509818 -0.000626257 0.000455819 0	0 0 0.606306 -0.000356396 0.000759175 0	0 0 0.702605 -0.000109543 0.000570194 0	
0.14	0 0 -0.0390589 -0.000805806 -0.00829244 0	0 0 0.0877194 -0.000861571 -0.00573989 0	0 0 0.203696 -0.00097329 -0.00354571 0	0 0 0.311404 -0.0010139 -0.00175557 0	0 0 0.41326 -0.000923685 -0.000390176 0	0 0 0.511332 -0.000701696 0.000504376 0	0 0 0.607401 -0.000400726 0.000861321 0	0 0 0.703109 -0.000122607 0.000652873 0	
0.15	0 0 -0.0433493 -0.000878015 -0.00889297 0	0 0 0.0856478 -0.000935733 -0.00623311 0	0 0 0.203418 -0.00105974 -0.00390635 0	0 0 0.31235 -0.00111052 -0.00196887 0	0 0 0.414806 -0.00101857 -0.000459375 0	0 0 0.5129 -0.000778441 0.000550277 0	0 0 0.608555 -0.000446185 0.00096505 0	0 0 0.703648 -0.000136043 0.000738352 0	
0.16	0 0 -0.0477387 -0.000948315 -0.00948431 0	0 0 0.0834534 -0.00100743 -0.00672572 0	0 0 0.203037 -0.00114403 -0.00427267 0	0 0 0.313242 -0.00120599 -0.00219049 0	0 0 0.416353 -0.00111354 -0.000535627 0	0 0 0.514506 -0.000856061 0.00059298 0	0 0 0.609757 -0.000492526 0.00106949 0	0 0 0.704217 -0.000149795 0.000825956 0	
0.17	0 0 -0.0522153 -0.00101638 -0.0100658 0	0 0 0.081144 -0.00107631 -0.0072165 0	0 0 0.202552 -0.00122573 -0.00464338 0	0 0 0.314071 -0.00129982 -0.00241954 0	0 0 0.417887 -0.00120809 -0.000618721 0	0 0 0.516137 -0.000934154 0.000632013 0	0 0 0.610996 -0.000539527 0.00117381 0	0 0 0.70481 -0.000163829 0.000915021 0	
0.18	0 0 -0.0567679 -0.00108199 -0.0106367 0	0 0 0.0787271 -0.0011421 -0.00770427 0	0 0 0.201965 -0.00130447 -0.00501722 0	0 0 0.31483 -0.00139156 -0.00265511 0	0 0 0.419396 -0.00130174 -0.000708385 0	0 0 0.517779 -0.00101232 0.000667005 0	0 0 0.612262 -0.000586967 0.00127726 0	0 0 0.705424 -0.000178102 0.00100493 0	
0.19	0 0 -0.0613859 -0.00114491 -0.0111967 0	0 0 0.0762094 -0.00120454 -0.008188 0	0 0 0.201276 -0.00137992 -0.00539293 0	0 0 0.315514 -0.00148078 -0.00289625 0	0 0 0.420868 -0.00139403 -0.000804344 0	0 0 0.519421 -0.00109018 0.000697504 0	0 0 0.613545 -0.00063465 0.00137899 0	0 0 0.706051 -0.000192615 0.00109499 0	
0.2	0 0 -0.0660599 -0.00120485 -0.0117448 0	0 0 0.0735981 -0.00126337 -0.00866658 0	0 0 0.200485 -0.00145181 -0.00576945 0	0 0 0.316116 -0.00156721 -0.00314217 0	0 0 0.422294 -0.00148469 -0.000906262 0	0 0 0.521048 -0.00116744 0.000723345 0	0 0 0.614834 -0.000682296 0.00147848 0	0 0 0.706688 -0.000207183 0.00118471 0	
0.21	0 0 -0.0707807 -0.00126172 -0.0122809 0	0 0 0.0708995 -0.00131843 -0.00913911 0	0 0 0.199594 -0.00151988 -0.00614562 0	0 0 0.31663 -0.00165046 -0.00339194 0	0 0 0.423661 -0.00157327 -0.0010138 0	0 0 0.522651 -0.00124377 0.000744194 0	0 0 0.61612 -0.000729804 0.00157501 0	0 0 0.707329 -0.000221891 0.00127347 0	
0.22	0 0 -0.0755391 -0.00131545 -0.0128046 0	0 0 0.0681191 -0.00136961 -0.00960481 0	0 0 0.198604 -0.00158389 -0.00652039 0	0 0 0.317053 -0.00173015 -0.00364467 0	0 0 0.424962 -0.00165933 -0.00112663 0	0 0 0.524217 -0.00131876 0.000759725 0	0 0 0.617394 -0.000776909 0.00166782 0	0 0 0.70797 -0.000236658 0.00136066 0	
0.23	0 0 -0.0803277 -0.00136576 -0.0133151 0	0 0 0.0652632 -0.00141669 -0.0100627 0	0 0 0.197515 -0.00164366 -0.00689282 0	0 0 0.31738 -0.00180613 -0.00389965 0	0 0 0.426188 -0.0017427 -0.00124439 0	0 0 0.525736 -0.00139227 0.000769856 0	0 0 0.618647 -0.000823548 0.00175653 0	0 0 0.708606 -0.000251499 0.00144586 0	
0.24	0 0 -0.0851385 -0.00141268 -0.0138125 0	0 0 0.0623369 -0.00145964 -0.0105121 0	0 0 0.19633 -0.00169902 -0.00726196 0	0 0 0.317607 -0.00187807 -0.00415607 0	0 0 0.427331 -0.00182299 -0.00136681 0	0 0 0.527199 -0.00146392 0.000774264 0	0 0 0.619871 -0.000869453 0.00184044 0	0 0 0.709232 -0.000266305 0.00152854 0	
0.25	0 0 -0.0899645 -0.00145606 -0.0142961 0	0 0 0.0593453 -0.00149832 -0.0109524 0	0 0 0.19505 -0.00174983 -0.00762699 0	0 0 0.317731 -0.00194579 -0.00441325 0	0 0 0.428383 -0.00189998 -0.00149354 0	0 0 0.528598 -0.00153352 0.000772843 0	0 0 0.621059 -0.000914524 0.00191915 0	0 0 0.709846 -0.000281079 0.00160828 0	
0.26	0 0 -0.0947994 -0.0014958 -0.0147657 0	0 0 0.0562934 -0.00153267 -0.0113827 0	0 0 0.193675 -0.00179596 -0.0079871 0	0 0 0.317749 -0.0020091 -0.00467052 0	0 0 0.429338 -0.00197343 -0.00162428 0	0 0 0.529923 -0.00160086 0.000765459 0	0 0 0.622204 -0.000958638 0.0019922 0	0 0 0.710443 -0.0002958 0.00168468 0	
0.27	0 0 -0.0996373 -0.00153178 -0.0152208 0	0 0 0.0531861 -0.00156258 -0.0118026 0	0 0 0.192208 -0.0018373 -0.00834155 0	0 0 0.317658 -0.00206784 -0.00492721 0	0 0 0.430191 -0.00204318 -0.00175865 0	0 0 0.531169 -0.0016658 0.000752086 0	0 0 0.623299 -0.00100175 0.00205929 0	0 0 0.711019 -0.000310507 0.00175741 0	
0.28	0 0 -0.104472 -0.00156406 -0.0156615 0	0 0 0.0500272 -0.00158808 -0.0122114 0	0 0 0.190649 -0.00187379 -0.00868969 0	0 0 0.317457 -0.00212185 -0.00518282 0	0 0 0.430935 -0.00210894 -0.00189655 0	0 0 0.532328 -0.00172804 0.00073242 0	0 0 0.624339 -0.00104361 0.0021199 0	0 0 0.711573 -0.000325056 0.00182611 0	
0.29	0 0 -0.109299 -0.00159253 -0.0160874 0	0 0 0.0468207 -0.00160911 -0.0126088 0	0 0 0.189001 -0.00190536 -0.00903093 0	0 0 0.317143 -0.00217098 -0.00543683 0	0 0 0.431568 -0.00217057 -0.0020377 0	0 0 0.533394 -0.00178746 0.000706383 0	0 0 0.62532 -0.00108421 0.0021737 0	0 0 0.712101 -0.000339538 0.00189045 0	
0.3	0 0 -0.114114 -0.0016171 -0.0164984 0	0 0 0.0435708 -0.0016256 -0.0129943 0	0 0 0.187264 -0.00193192 -0.00936464 0	0 0 0.316716 -0.00221515 -0.00568859 0	0 0 0.432083 -0.00222796 -0.00218164 0	0 0 0.534362 -0.00184399 0.000674124 0	0 0 0.626236 -0.00112349 0.00222054 0	0 0 0.712602 -0.000353903 0.00195021 0	
0.31	0 0 -0.118911 -0.00163784 -0.0168944 0	0 0 0.0402807 -0.00163761 -0.0133676 0	0 0 0.185441 -0.00195349 -0.00969044 0	0 0 0.316173 -0.00225427 -0.00593785 0	0 0 0.432479 -0.00228093 -0.0023284 0	0 0 0.535229 -0.00189736 0.000635354 0	0 0 0.627083 -0.00116121 0.00226007 0	0 0 0.713072 -0.000368047 0.00200516 0	
